source,description,severity,status,ip,hash,timestamp
Wazuh,Port scan detected from internal host FIN-WKSTN14,Medium,Open,198.137.96.170,2d1026706d7e805da846a32c3bb81e3c29b62179273c8eb5bb682575ec87a171,2026-01-26T16:55:21
Sysmon,System patch applied successfully on MAIL-GW01,Low,Open,,,2026-05-26T00:31:52
Sysmon,Suspicious email attachment quarantined for user asmith,Medium,Open,26.100.0.93,,2026-08-04T20:08:10
SIEM,"Outdated software vulnerability detected on DB-SRV01, no known active exploit",High,Open,24.248.194.215,,2026-02-20T19:19:39
Cloud,Login for user svc_sql observed from a new geographic location,Medium,Open,,,2026-01-18T05:42:44
Zeek,Multiple failed login attempts detected for user k.nguyen followed by a successful login,High,Open,,,2026-03-03T19:27:33
Wazuh,Brute force attack detected against SSH service on APP-SRV03 from 202.116.113.143,High,Open,202.116.113.143,,2026-05-28T05:42:44
Suricata,User r.patel logged out after normal session on VPN-GW01,Low,Open,,,2026-03-12T14:52:13
Suricata,Login for user k.nguyen observed from a new geographic location,Medium,Open,162.157.157.75,,2026-01-26T09:02:41
Email,Port scan detected from internal host WIN-DC01,Medium,Open,154.22.65.98,,2026-08-12T19:00:40
Linux,User svc_sql logged out after normal session on DB-SRV01,Low,Open,,,2026-06-11T03:32:37
Zeek,User jdoe logged out after normal session on FIN-WKSTN14,Low,Open,86.110.40.0,,2026-03-11T22:15:06
Email,Informational: password changed successfully for user admin,Low,Open,,,2026-06-04T08:08:36
IDS,Known ransomware hash 083eb8cb37f0a72e executed on MAIL-GW01,Critical,Open,,083eb8cb37f0a72e9d34119f3374cebd4d3fd81b6ee7b3bb1c863e2601a74626,2026-04-01T11:42:18
Email,Scheduled antivirus scan completed on WIN-DC01 with no threats found,Low,Open,,4853040b7a05814d32feb3e719e01fcd3fe22a4248ac9ed336de7daecd3ada8b,2026-01-27T01:43:40
Sysmon,Informational: password changed successfully for user guest,Low,Open,199.33.188.18,,2026-08-19T08:24:42
Suricata,Repeated DNS requests to newly registered domain from FIN-WKSTN14,Medium,Open,163.109.92.81,696489a30fd54c7b2c1d0e2adcd93c0a5eb2d37dc2c9a7a5236bb4734865425f,2026-08-14T01:02:02
Wazuh,Suspicious email attachment quarantined for user k.nguyen,Medium,Open,27.123.53.92,,2026-03-25T04:25:13
Firewall,User admin logged out after normal session on APP-SRV03,Medium,Open,45.55.123.189,,2026-02-23T21:38:29
Windows,Brute force attack detected against SSH service on APP-SRV03 from 30.72.35.248,High,Open,30.72.35.248,64d3979317de23f0749d0b7d52b20cf1cb80b2b73a41ba5ef542e196161a9cf8,2026-03-16T05:12:47
Zeek,User k.nguyen logged out after normal session on WIN-DC01,Low,Open,214.161.180.93,,2026-04-12T02:04:35
Windows,Suspicious outbound connection from FIN-WKSTN14 to known malicious IP 61.62.227.69,High,Open,61.62.227.69,2e5e2ab29955b73647f0bbe4229cfdd24a2eeb454d134955a7b92868492545a1,2026-08-12T23:53:51
SIEM,Scheduled antivirus scan completed on VPN-GW01 with no threats found,Low,Open,,,2026-06-06T14:36:01
Wazuh,"Outdated software vulnerability detected on WIN-DC01, no known active exploit",Medium,Open,,,2026-06-28T12:22:28
Windows,Privilege escalation to SYSTEM detected on MAIL-GW01 followed by lateral movement attempt,High,Open,,,2026-05-11T02:49:07
Wazuh,Routine configuration change applied on APP-SRV03 by svc_backup,Low,Open,,,2026-06-21T14:15:08
Endpoint,Scheduled antivirus scan completed on APP-SRV03 with no threats found,Medium,Open,,,2026-04-02T00:12:01
Zeek,Firewall blocked unusual outbound traffic from WIN-DC01 to 138.255.81.116,Medium,Open,138.255.81.116,,2026-04-20T22:18:10
IDS,Suspicious email attachment quarantined for user r.patel,Medium,Open,141.71.241.219,,2026-04-09T00:42:29
Cloud,Malware signature ce779212cccf1052 detected by antivirus on VPN-GW01,High,Open,,ce779212cccf1052fda3176f812815a064c2957cac42b13d72aca08ef7bcd5c2,2026-04-06T17:04:42
Email,Multiple failed login attempts detected for user svc_backup followed by a successful login,High,Open,,,2026-02-22T20:46:19
Wazuh,System patch applied successfully on HR-LAPTOP07,Low,Open,,,2026-03-22T08:08:35
